Player,Team,Season,Appearances,SeasonAtTeam
Wojciech Szczesny,Arsenal,2009,0,1
Manuel Almunia,Arsenal,2009,32,5
Lukasz Fabianski,Arsenal,2009,6,2
Vito Mannone,Arsenal,2009,1,4
Pedro Botelho,Arsenal,2009,0,2
Bacary Sagna,Arsenal,2009,35,2
Kolo Touré,Arsenal,2009,29,8
Philippe Senderos,Arsenal,2009,0,6
William Gallas,Arsenal,2009,23,3
Mikaël Silvestre,Arsenal,2009,0,1
Johan Djourou,Arsenal,2009,15,5
Gaël Clichy,Arsenal,2009,31,6
Kieran Gibbs,Arsenal,2009,8,3
Armand Traore,Arsenal,2009,0,4
Kyle Bartley,Arsenal,2009,0,2
Tom Cruise,Arsenal,2009,0,2
Kerrea Gilbert,Arsenal,2009,0,7
Gavin Hoyte,Arsenal,2009,1,3
Luke Ayling,Arsenal,2009,0,2
Abu Ogogo,Arsenal,2009,0,2
Paul Rodgers,Arsenal,2009,0,1
Håvard Nordtveit,Arsenal,2009,0,2
Rene Steer,Arsenal,2009,0,1
Henri Lansbury,Arsenal,2009,0,3
Cesc Fàbregas,Arsenal,2009,22,6
Tomas Rosicky,Arsenal,2009,0,3
Samir Nasri,Arsenal,2009,29,1
Jack Wilshere,Arsenal,2009,1,1
Theo Walcott,Arsenal,2009,22,4
Denilson,Arsenal,2009,37,3
Aaron Ramsey,Arsenal,2009,9,1
Alexandre Song,Arsenal,2009,31,3
Francis Coquelin,Arsenal,2009,0,1
Andrey Arshavin,Arsenal,2009,12,1
Abou Diaby,Arsenal,2009,24,4
Emmanuel Frimpong,Arsenal,2009,0,1
Emmanuel Eboué,Arsenal,2009,28,5
Amaury Bischoff,Arsenal,2009,1,1
Fran Mérida,Arsenal,2009,2,3
Nacer Barazite,Arsenal,2009,0,3
James Dunne,Arsenal,2009,0,1
Jay Emmanuel-Thomas,Arsenal,2009,0,1
Craig Eastmond,Arsenal,2009,0,2
Mark Randall,Arsenal,2009,1,3
Conor Henderson,Arsenal,2009,0,1
Eduardo da Silva,Arsenal,2009,0,2
Robin van Persie,Arsenal,2009,28,5
Carlos Vela,Arsenal,2009,14,4
Nicklas Bendtner,Arsenal,2009,31,4
Emmanuel Adebayor,Arsenal,2009,26,4
Luke Freeman,Arsenal,2009,0,2
Rhys Murphy,Arsenal,2009,0,1
Jay Simpson,Arsenal,2009,0,3
Gilles Sunu,Arsenal,2009,0,2
Sanchez Watt,Arsenal,2009,0,2
Rui Fonte,Arsenal,2009,0,2
Justin Hoyte,Arsenal,2009,0,7
David Bevan,Aston Villa,2009,0,2
Brad Guzan,Aston Villa,2009,1,1
Brad Friedel,Aston Villa,2009,38,1
Elliot Parish,Aston Villa,2009,0,1
Stephen O'Halloran,Aston Villa,2009,0,3
Arsenio Halfhuid,Aston Villa,2009,0,1
Nathan Baker,Aston Villa,2009,0,1
Luke Young,Aston Villa,2009,34,1
Wilfred Bouma,Aston Villa,2009,0,4
Martin Laursen,Aston Villa,2009,19,5
Ciaran Clark,Aston Villa,2009,0,1
Curtis Davies,Aston Villa,2009,35,1
Zat Knight,Aston Villa,2009,13,2
Nicky Shorey,Aston Villa,2009,21,1
Carlos Cuellar,Aston Villa,2009,28,1
Craig Gardner,Aston Villa,2009,14,4
Eric Lichaj,Aston Villa,2009,0,2
Shane Lowry,Aston Villa,2009,0,2
Moustapha Salifou,Aston Villa,2009,0,2
Steve Sidwell,Aston Villa,2009,16,1
Gareth Barry,Aston Villa,2009,38,12
Ashley Young,Aston Villa,2009,36,3
James Milner,Aston Villa,2009,2,1
Marc Albrighton,Aston Villa,2009,0,1
Chris Herd,Aston Villa,2009,0,2
Stiliyan Petrov,Aston Villa,2009,36,3
Nigel Reo-Coker,Aston Villa,2009,26,2
Isaiah Osbourne,Aston Villa,2009,0,3
Barry Bannan,Aston Villa,2009,0,1
Harry Forrester,Aston Villa,2009,0,2
Marlon Harewood,Aston Villa,2009,6,2
John Carew,Aston Villa,2009,27,3
Gabriel Agbonlahor,Aston Villa,2009,36,5
Emile Heskey,Aston Villa,2009,20,1
Tobias Mikaelsson,Aston Villa,2009,0,4
Nathan Delfouneso,Aston Villa,2009,4,1
Sam Williams,Aston Villa,2009,0,4
Stuart Taylor,Aston Villa,2009,0,4
Zoltán Stieber,Aston Villa,2009,0,4
Wayne Routledge,Aston Villa,2009,1,2
Shaun Maloney,Aston Villa,2009,0,3
Paul Robinson,Blackburn Rovers,2009,35,1
Mark Bunn,Blackburn Rovers,2009,0,1
Jason Brown,Blackburn Rovers,2009,4,3
Frank Fielding,Blackburn Rovers,2009,0,2
Björn Bussmann,Blackburn Rovers,2009,0,1
Zurab Khizanishvili,Blackburn Rovers,2009,5,3
Gaël Givet,Blackburn Rovers,2009,14,0
Jonathan Flynn,Blackburn Rovers,2009,0,2
André Ooijer,Blackburn Rovers,2009,32,3
Martin Olsson,Blackburn Rovers,2009,9,4
Stephen Warnock,Blackburn Rovers,2009,37,3
Christopher Samba,Blackburn Rovers,2009,35,3
Ryan Nelsen,Blackburn Rovers,2009,35,5
Danny Simpson,Blackburn Rovers,2009,0,0
Gavin Gunning,Blackburn Rovers,2009,0,1
