Player,Team,Season,Appearances,SeasonAtTeam
Wojciech Szczesny,Arsenal,2012,38,4
Manuel Almunia,Arsenal,2012,0,8
Lukasz Fabianski,Arsenal,2012,0,5
Vito Mannone,Arsenal,2012,0,7
Emiliano Martínez,Arsenal,2012,0,1
James Shea,Arsenal,2012,0,3
Pedro Botelho,Arsenal,2012,0,5
Bacary Sagna,Arsenal,2012,21,5
Per Mertesacker,Arsenal,2012,21,1
Thomas Vermaelen,Arsenal,2012,29,3
Laurent Koscielny,Arsenal,2012,33,2
André Santos,Arsenal,2012,15,1
Sébastien Squillaci,Arsenal,2012,1,2
Johan Djourou,Arsenal,2012,18,8
Carl Jenkinson,Arsenal,2012,9,1
Kieran Gibbs,Arsenal,2012,16,6
Kyle Bartley,Arsenal,2012,0,5
Tom Cruise,Arsenal,2012,0,5
Daniel Boateng,Arsenal,2012,0,2
Gavin Hoyte,Arsenal,2012,0,6
Sead Hajrovic,Arsenal,2012,0,1
Jernade Meade,Arsenal,2012,0,1
Ignasi Miquel,Arsenal,2012,4,2
Nico Yennaris,Arsenal,2012,1,2
Henri Lansbury,Arsenal,2012,2,6
Jeffrey Monakana,Arsenal,2012,0,1
Tomas Rosicky,Arsenal,2012,28,6
Mikel Arteta,Arsenal,2012,2,1
Jack Wilshere,Arsenal,2012,0,4
Theo Walcott,Arsenal,2012,35,7
Denilson,Arsenal,2012,0,6
Alex Oxlade-Chamberlain,Arsenal,2012,16,1
Aaron Ramsey,Arsenal,2012,34,4
Alexandre Song,Arsenal,2012,34,7
Francis Coquelin,Arsenal,2012,10,4
Andrey Arshavin,Arsenal,2012,19,4
Abou Diaby,Arsenal,2012,4,7
Chuks Aneke,Arsenal,2012,0,2
Emmanuel Frimpong,Arsenal,2012,6,4
Yossi Benayoun,Arsenal,2012,1,1
Ryo Miyaichi,Arsenal,2012,0,2
Thomas Eisfeld,Arsenal,2012,0,1
Craig Eastmond,Arsenal,2012,0,5
Conor Henderson,Arsenal,2012,0,4
Oguzhan Ozyakup,Arsenal,2012,0,2
Joel Campbell,Arsenal,2012,0,1
Wellington Silva,Arsenal,2012,0,2
Robin van Persie,Arsenal,2012,38,8
Carlos Vela,Arsenal,2012,0,7
Nicklas Bendtner,Arsenal,2012,1,7
Gervinho,Arsenal,2012,28,1
Marouane Chamakh,Arsenal,2012,11,2
Park Chu-Young,Arsenal,2012,1,1
Benik Afobe,Arsenal,2012,0,2
Rhys Murphy,Arsenal,2012,0,4
Sanchez Watt,Arsenal,2012,0,5
Thierry Henry,Arsenal,2012,0,10
Luke Freeman,Arsenal,2012,0,5
Gilles Sunu,Arsenal,2012,0,5
Armand Traore,Arsenal,2012,1,7
Samir Nasri,Arsenal,2012,1,4
Emmanuel Eboué,Arsenal,2012,0,8
Cesc Fàbregas,Arsenal,2012,0,9
Samuel Galindo,Arsenal,2012,0,3
Brad Guzan,Aston Villa,2012,7,4
Andy Marshall,Aston Villa,2012,0,3
Shay Given,Aston Villa,2012,32,1
Alan Hutton,Aston Villa,2012,0,1
Nathan Baker,Aston Villa,2012,8,4
Stephen Warnock,Aston Villa,2012,35,3
Richard Dunne,Aston Villa,2012,28,3
Ciaran Clark,Aston Villa,2012,15,4
James Collins,Aston Villa,2012,32,3
Carlos Cuellar,Aston Villa,2012,18,4
Eric Lichaj,Aston Villa,2012,10,5
Derrick Williams,Aston Villa,2012,0,1
Enda Stevens,Aston Villa,2012,0,1
Charles N'Zogbia,Aston Villa,2012,30,1
Marc Albrighton,Aston Villa,2012,26,4
Fabian Delph,Aston Villa,2012,11,3
Jean Makoun,Aston Villa,2012,0,2
Chris Herd,Aston Villa,2012,19,5
Stiliyan Petrov,Aston Villa,2012,27,6
Gary Gardner,Aston Villa,2012,14,3
Samir Carruthers,Aston Villa,2012,3,1
Daniel Johnson,Aston Villa,2012,0,2
Stephen Ireland,Aston Villa,2012,24,2
Jack Grealish,Aston Villa,2012,0,1
Barry Bannan,Aston Villa,2012,28,4
Graham Burke,Aston Villa,2012,0,1
Andreas Weimann,Aston Villa,2012,14,3
Gabriel Agbonlahor,Aston Villa,2012,33,8
Emile Heskey,Aston Villa,2012,28,4
Nathan Delfouneso,Aston Villa,2012,6,4
Darren Bent,Aston Villa,2012,22,2
Robbie Keane,Aston Villa,2012,0,2
Jermaine Jenas,Aston Villa,2012,0,2
Elliot Parish,Aston Villa,2012,0,4
Shane Lowry,Aston Villa,2012,0,5
Habib Beye,Aston Villa,2012,0,3
Luke Young,Aston Villa,2012,2,4
Jonathan Hogg,Aston Villa,2012,0,3
Sebastian Usai,Blackburn Rovers,2012,0,1
Paul Robinson,Blackburn Rovers,2012,34,4
