Player,Team,Season,Appearances,SeasonAtTeam
Manuel Almunia,Arsenal,2011,8,7
Wojciech Szczesny,Arsenal,2011,15,3
Jens Lehmann,Arsenal,2011,1,6
Lukasz Fabianski,Arsenal,2011,14,4
Vito Mannone,Arsenal,2011,0,6
James Shea,Arsenal,2011,0,2
Pedro Botelho,Arsenal,2011,0,4
Bacary Sagna,Arsenal,2011,33,4
Thomas Vermaelen,Arsenal,2011,5,2
Laurent Koscielny,Arsenal,2011,30,1
Sébastien Squillaci,Arsenal,2011,22,1
Johan Djourou,Arsenal,2011,22,7
Gaël Clichy,Arsenal,2011,33,8
Kieran Gibbs,Arsenal,2011,7,5
Armand Traore,Arsenal,2011,0,6
Kyle Bartley,Arsenal,2011,0,4
Tom Cruise,Arsenal,2011,0,4
Daniel Boateng,Arsenal,2011,0,1
Gavin Hoyte,Arsenal,2011,0,5
Ignasi Miquel,Arsenal,2011,0,1
Nico Yennaris,Arsenal,2011,0,1
Henri Lansbury,Arsenal,2011,0,5
Cesc Fàbregas,Arsenal,2011,25,8
Tomas Rosicky,Arsenal,2011,21,5
Samir Nasri,Arsenal,2011,30,3
Jack Wilshere,Arsenal,2011,35,3
Theo Walcott,Arsenal,2011,28,6
Denilson,Arsenal,2011,16,5
Aaron Ramsey,Arsenal,2011,7,3
Alexandre Song,Arsenal,2011,31,6
Francis Coquelin,Arsenal,2011,0,3
Andrey Arshavin,Arsenal,2011,37,3
Abou Diaby,Arsenal,2011,16,6
Chuks Aneke,Arsenal,2011,0,1
Emmanuel Frimpong,Arsenal,2011,0,3
Emmanuel Eboué,Arsenal,2011,13,7
Ryo Miyaichi,Arsenal,2011,0,1
Jay Emmanuel-Thomas,Arsenal,2011,1,3
Craig Eastmond,Arsenal,2011,0,4
Mark Randall,Arsenal,2011,0,5
Conor Henderson,Arsenal,2011,0,3
Oguzhan Ozyakup,Arsenal,2011,0,1
Wellington Silva,Arsenal,2011,0,1
Robin van Persie,Arsenal,2011,25,7
Carlos Vela,Arsenal,2011,4,6
Nicklas Bendtner,Arsenal,2011,17,6
Marouane Chamakh,Arsenal,2011,29,1
Benik Afobe,Arsenal,2011,0,1
Roarie Deacon,Arsenal,2011,0,1
Luke Freeman,Arsenal,2011,0,4
Rhys Murphy,Arsenal,2011,0,3
Gilles Sunu,Arsenal,2011,0,4
Sanchez Watt,Arsenal,2011,0,4
Håvard Nordtveit,Arsenal,2011,0,4
Cedric Evina,Arsenal,2011,0,2
Nacer Barazite,Arsenal,2011,0,5
Jay Simpson,Arsenal,2011,0,5
Samuel Galindo,Arsenal,2011,0,2
Brad Friedel,Aston Villa,2011,38,3
Brad Guzan,Aston Villa,2011,0,3
Andy Marshall,Aston Villa,2011,0,2
Elliot Parish,Aston Villa,2011,0,3
Luke Young,Aston Villa,2011,23,3
Nathan Baker,Aston Villa,2011,4,3
Stephen Warnock,Aston Villa,2011,19,2
Richard Dunne,Aston Villa,2011,32,2
Ciaran Clark,Aston Villa,2011,19,3
