2010,20,Xerez,LaLiga
2009,1,Barcelona,LaLiga
2009,2,Real Madrid,LaLiga
2009,3,Sevilla,LaLiga
2009,4,Atlético Madrid,LaLiga
2009,5,Villarreal,LaLiga
2009,6,Valencia,LaLiga
2009,7,Deportivo La Coruña,LaLiga
2009,8,Málaga,LaLiga
2009,9,Mallorca,LaLiga
2009,10,Espanyol,LaLiga
2009,11,Almería,LaLiga
2009,12,Racing Santander,LaLiga
2009,13,Athletic Bilbao,LaLiga
2009,14,Sporting Gijón,LaLiga
2009,15,Osasuna,LaLiga
2009,16,Valladolid,LaLiga
2009,17,Getafe,LaLiga
2009,18,Betis,LaLiga
2009,19,Numancia,LaLiga
2009,20,Recreativo,LaLiga
2008,1,Real Madrid,LaLiga
2008,2,Villarreal,LaLiga
2008,3,Barcelona,LaLiga
2008,4,Atlético Madrid,LaLiga
2008,5,Sevilla,LaLiga
2008,6,Racing Santander,LaLiga
2008,7,Mallorca,LaLiga
2008,8,Almería,LaLiga
2008,9,Deportivo La Coruña,LaLiga
2008,10,Valencia,LaLiga
2008,11,Athletic Bilbao,LaLiga
2008,12,Espanyol,LaLiga
2008,13,Betis,LaLiga
2008,14,Getafe,LaLiga
2008,15,Valladolid,LaLiga
2008,16,Recreativo,LaLiga
2008,17,Osasuna,LaLiga
2008,18,Zaragoza,LaLiga
2008,19,Murcia,LaLiga
2008,20,Levante,LaLiga
