Player,Team,Season,Appearances,SeasonAtTeam
Jens Lehmann,Arsenal,2008,7,5
Manuel Almunia,Arsenal,2008,29,4
Lukasz Fabianski,Arsenal,2008,3,1
Vito Mannone,Arsenal,2008,0,3
Pedro Botelho,Arsenal,2008,0,1
Carl Parisio,Arsenal,2008,0,2
Bacary Sagna,Arsenal,2008,29,1
Kolo Touré,Arsenal,2008,30,7
Philippe Senderos,Arsenal,2008,17,5
William Gallas,Arsenal,2008,31,2
Johan Djourou,Arsenal,2008,2,4
Gaël Clichy,Arsenal,2008,38,5
Kieran Gibbs,Arsenal,2008,0,2
Armand Traore,Arsenal,2008,3,3
Justin Hoyte,Arsenal,2008,5,6
Kyle Bartley,Arsenal,2008,0,1
Tom Cruise,Arsenal,2008,0,1
Kerrea Gilbert,Arsenal,2008,0,6
Gavin Hoyte,Arsenal,2008,0,2
Luke Ayling,Arsenal,2008,0,1
Abu Ogogo,Arsenal,2008,0,1
Håvard Nordtveit,Arsenal,2008,0,1
Gilberto Silva,Arsenal,2008,23,6
Henri Lansbury,Arsenal,2008,0,2
Cesc Fàbregas,Arsenal,2008,32,5
Tomas Rosicky,Arsenal,2008,18,2
Alyaksandr Hleb,Arsenal,2008,31,3
Theo Walcott,Arsenal,2008,25,3
Denilson,Arsenal,2008,13,2
Mathieu Flamini,Arsenal,2008,30,4
Alexandre Song,Arsenal,2008,9,2
Abou Diaby,Arsenal,2008,15,3
Emmanuel Eboué,Arsenal,2008,23,4
Fran Mérida,Arsenal,2008,0,2
Nacer Barazite,Arsenal,2008,0,2
Craig Eastmond,Arsenal,2008,0,1
Mark Randall,Arsenal,2008,1,2
Eduardo da Silva,Arsenal,2008,17,1
Robin van Persie,Arsenal,2008,15,4
Carlos Vela,Arsenal,2008,0,3
Nicklas Bendtner,Arsenal,2008,27,3
Emmanuel Adebayor,Arsenal,2008,36,3
Rui Fonte,Arsenal,2008,0,1
Luke Freeman,Arsenal,2008,0,1
Jay Simpson,Arsenal,2008,0,2
Gilles Sunu,Arsenal,2008,0,1
Sanchez Watt,Arsenal,2008,0,1
Lass Diarra,Arsenal,2008,0,1
Vincent van den Berg,Arsenal,2008,0,2
Joe O'Cearuill,Arsenal,2008,0,2
Thomas Sørensen,Aston Villa,2008,0,5
David Bevan,Aston Villa,2008,0,1
Stuart Taylor,Aston Villa,2008,4,3
Scott Carson,Aston Villa,2008,0,0
Curtis Davies,Aston Villa,2008,12,0
Stephen O'Halloran,Aston Villa,2008,0,2
Wilfred Bouma,Aston Villa,2008,38,3
Olof Mellberg,Aston Villa,2008,34,7
Martin Laursen,Aston Villa,2008,38,4
Zat Knight,Aston Villa,2008,4,1
Craig Gardner,Aston Villa,2008,23,3
Eric Lichaj,Aston Villa,2008,0,1
Shane Lowry,Aston Villa,2008,0,1
Damian Bellon,Aston Villa,2008,0,2
Yago Bellon,Aston Villa,2008,0,2
Moustapha Salifou,Aston Villa,2008,4,1
Gareth Barry,Aston Villa,2008,37,11
Ashley Young,Aston Villa,2008,37,2
Chris Herd,Aston Villa,2008,0,1
Wayne Routledge,Aston Villa,2008,2,1
Stiliyan Petrov,Aston Villa,2008,28,2
Nigel Reo-Coker,Aston Villa,2008,36,1
Patrik Berger,Aston Villa,2008,8,3
Isaiah Osbourne,Aston Villa,2008,8,2
Harry Forrester,Aston Villa,2008,0,1
Luke Moore,Aston Villa,2008,15,5
Marlon Harewood,Aston Villa,2008,23,1
John Carew,Aston Villa,2008,32,2
Gabriel Agbonlahor,Aston Villa,2008,37,4
Shaun Maloney,Aston Villa,2008,22,2
Tobias Mikaelsson,Aston Villa,2008,0,3
Zoltán Stieber,Aston Villa,2008,0,3
Sam Williams,Aston Villa,2008,0,3
Gary Cahill,Aston Villa,2008,1,4
Artur Krysiak,Birmingham City,2008,0,1
Maik Taylor,Birmingham City,2008,34,4
Colin Doyle,Birmingham City,2008,3,4
Richard Kingson,Birmingham City,2008,1,1
Sam Alsop,Birmingham City,2008,0,3
Stephen Kelly,Birmingham City,2008,38,1
David Murphy,Birmingham City,2008,14,1
Martin Taylor,Birmingham City,2008,4,4
