Player,Team,Season,Appearances,SeasonAtTeam
Wojciech Szczesny,Arsenal,2015,17,7
David Ospina,Arsenal,2015,18,1
Emiliano Martínez,Arsenal,2015,4,4
Ryan Huddart,Arsenal,2015,0,1
Matt Macey,Arsenal,2015,0,1
Mathieu Debuchy,Arsenal,2015,10,1
Kieran Gibbs,Arsenal,2015,22,9
Per Mertesacker,Arsenal,2015,35,4
Gabriel,Arsenal,2015,6,1
Laurent Koscielny,Arsenal,2015,27,5
Nacho Monreal,Arsenal,2015,28,3
Calum Chambers,Arsenal,2015,23,1
Carl Jenkinson,Arsenal,2015,0,4
Semi Ajayi,Arsenal,2015,0,1
Héctor Bellerín,Arsenal,2015,20,3
Isaac Hayden,Arsenal,2015,0,2
Stefan O'Connor,Arsenal,2015,0,1
Tomas Rosicky,Arsenal,2015,15,9
Mikel Arteta,Arsenal,2015,7,4
Jack Wilshere,Arsenal,2015,14,9
Mesut Özil,Arsenal,2015,22,2
Alex Oxlade-Chamberlain,Arsenal,2015,23,4
Aaron Ramsey,Arsenal,2015,29,7
Santiago Cazorla,Arsenal,2015,37,3
Mathieu Flamini,Arsenal,2015,0,7
Abou Diaby,Arsenal,2015,0,12
Serge Gnabry,Arsenal,2015,0,3
Ryo Miyaichi,Arsenal,2015,0,5
Francis Coquelin,Arsenal,2015,22,7
Gedion Zelalem,Arsenal,2015,0,3
Krystian Bielik,Arsenal,2015,0,1
Alex Iwobi,Arsenal,2015,0,2
Glen Kamara,Arsenal,2015,0,1
Ainsley Maitland-Niles,Arsenal,2015,1,1
Lukas Podolski,Arsenal,2015,7,3
Olivier Giroud,Arsenal,2015,27,3
Theo Walcott,Arsenal,2015,14,10
Alexis Sánchez,Arsenal,2015,35,1
Yaya Sanogo,Arsenal,2015,3,2
Danny Welbeck,Arsenal,2015,2,1
Joel Campbell,Arsenal,2015,4,4
Chuba Akpom,Arsenal,2015,3,5
Benik Afobe,Arsenal,2015,0,5
Kristoffer Olsson,Arsenal,2015,0,2
Dejan Iliev,Arsenal,2015,0,1
Samuel Galindo,Arsenal,2015,0,6
Ignasi Miquel,Arsenal,2015,0,5
Wellington Silva,Arsenal,2015,0,5
Brad Guzan,Aston Villa,2015,34,7
Jed Steer,Aston Villa,2015,1,3
Shay Given,Aston Villa,2015,3,4
Antonio Luna,Aston Villa,2015,0,2
Nathan Baker,Aston Villa,2015,11,9
Joe Bennett,Aston Villa,2015,0,3
Ron Vlaar,Aston Villa,2015,20,3
Jores Okore,Aston Villa,2015,23,2
Ciaran Clark,Aston Villa,2015,25,7
Leandro Bacuna,Aston Villa,2015,19,2
Philippe Senderos,Aston Villa,2015,8,1
