Player,Team,Season,Appearances,SeasonAtTeam
Manuel Almunia,Arsenal,2007,1,3
Jens Lehmann,Arsenal,2007,36,4
Mart Poom,Arsenal,2007,1,3
Vito Mannone,Arsenal,2007,0,2
Carl Parisio,Arsenal,2007,0,1
Ryan Garry,Arsenal,2007,0,6
Kolo Touré,Arsenal,2007,35,6
Philippe Senderos,Arsenal,2007,14,4
William Gallas,Arsenal,2007,0,1
Johan Djourou,Arsenal,2007,21,3
Gaël Clichy,Arsenal,2007,27,4
Kieran Gibbs,Arsenal,2007,0,1
Armand Traore,Arsenal,2007,0,2
Justin Hoyte,Arsenal,2007,22,5
Matthew Connolly,Arsenal,2007,0,2
Joe O'Cearuill,Arsenal,2007,0,1
Kerrea Gilbert,Arsenal,2007,0,5
Gavin Hoyte,Arsenal,2007,0,1
Gilberto Silva,Arsenal,2007,34,5
José Antonio Reyes,Arsenal,2007,0,4
Henri Lansbury,Arsenal,2007,0,1
Julio Baptista,Arsenal,2007,24,1
Vincent van den Berg,Arsenal,2007,0,1
Cesc Fàbregas,Arsenal,2007,38,4
Tomas Rosicky,Arsenal,2007,26,1
Fredrik Ljungberg,Arsenal,2007,18,9
Alyaksandr Hleb,Arsenal,2007,33,2
Theo Walcott,Arsenal,2007,16,2
Denilson,Arsenal,2007,10,1
Mathieu Flamini,Arsenal,2007,20,3
Alexandre Song,Arsenal,2007,2,2
Abou Diaby,Arsenal,2007,12,2
Emmanuel Eboué,Arsenal,2007,24,3
Fran Mérida,Arsenal,2007,0,1
Nacer Barazite,Arsenal,2007,0,1
Fabrice Muamba,Arsenal,2007,0,2
Mark Randall,Arsenal,2007,0,1
Jérémie Aliadière,Arsenal,2007,11,8
Robin van Persie,Arsenal,2007,22,3
Carlos Vela,Arsenal,2007,0,2
Thierry Henry,Arsenal,2007,17,8
Nicklas Bendtner,Arsenal,2007,0,2
Emmanuel Adebayor,Arsenal,2007,29,2
Arturo Lupoli,Arsenal,2007,0,3
Jay Simpson,Arsenal,2007,0,1
Sebastian Larsson,Arsenal,2007,0,3
Lauren,Arsenal,2007,0,7
Anthony Stokes,Arsenal,2007,0,2
Ashley Cole,Arsenal,2007,0,9
Pascal Cygan,Arsenal,2007,0,5
Thomas Sørensen,Aston Villa,2007,29,4
Stephen Henderson,Aston Villa,2007,0,1
Stuart Taylor,Aston Villa,2007,6,2
Bobby Olejnik,Aston Villa,2007,0,4
Phil Bardsley,Aston Villa,2007,0,1
Stephen O'Halloran,Aston Villa,2007,0,1
Mark Delaney,Aston Villa,2007,0,9
Jlloyd Samuel,Aston Villa,2007,4,9
Wilfred Bouma,Aston Villa,2007,25,2
Olof Mellberg,Aston Villa,2007,38,6
Martin Laursen,Aston Villa,2007,14,3
Aaron Hughes,Aston Villa,2007,19,2
Liam Ridgewell,Aston Villa,2007,21,6
Gary Cahill,Aston Villa,2007,20,3
Craig Gardner,Aston Villa,2007,13,2
Damian Bellon,Aston Villa,2007,0,1
Yago Bellon,Aston Villa,2007,0,1
Gareth Barry,Aston Villa,2007,35,10
Lee Hendrie,Aston Villa,2007,1,13
Ashley Young,Aston Villa,2007,20,1
Gavin McCann,Aston Villa,2007,30,4
Steven Davis,Aston Villa,2007,28,4
Eric Djemba-Djemba,Aston Villa,2007,1,3
Stiliyan Petrov,Aston Villa,2007,30,1
Patrik Berger,Aston Villa,2007,13,2
