Player,Team,Season,Appearances,SeasonAtTeam
Wojciech Szczesny,Arsenal,2016,0,8
David Ospina,Arsenal,2016,0,1
Petr Cech,Arsenal,2016,34,1
Matt Macey,Arsenal,2016,0,2
Mathieu Debuchy,Arsenal,2016,2,2
Kieran Gibbs,Arsenal,2016,15,10
Per Mertesacker,Arsenal,2016,24,5
Gabriel,Arsenal,2016,0,1
Laurent Koscielny,Arsenal,2016,33,6
Nacho Monreal,Arsenal,2016,37,4
Calum Chambers,Arsenal,2016,0,1
Héctor Bellerín,Arsenal,2016,36,4
Carl Jenkinson,Arsenal,2016,0,5
Tomas Rosicky,Arsenal,2016,0,10
Mikel Arteta,Arsenal,2016,9,5
Jack Wilshere,Arsenal,2016,3,10
Mesut Özil,Arsenal,2016,35,3
Alex Oxlade-Chamberlain,Arsenal,2016,22,5
Aaron Ramsey,Arsenal,2016,31,8
Santiago Cazorla,Arsenal,2016,15,4
Mathieu Flamini,Arsenal,2016,0,8
Serge Gnabry,Arsenal,2016,0,4
Francis Coquelin,Arsenal,2016,26,8
Mohamed Elneny,Arsenal,2016,11,1
Ismael Bennacer,Arsenal,2016,0,1
Krystian Bielik,Arsenal,2016,0,1
Alex Iwobi,Arsenal,2016,13,3
Ben Sheaf,Arsenal,2016,0,1
Chris Willock,Arsenal,2016,0,1
Olivier Giroud,Arsenal,2016,38,4
Theo Walcott,Arsenal,2016,28,11
Alexis Sánchez,Arsenal,2016,30,2
Yaya Sanogo,Arsenal,2016,0,3
Danny Welbeck,Arsenal,2016,11,2
Joel Campbell,Arsenal,2016,19,5
Jeff Reine-Adélaïde,Arsenal,2016,0,1
Glen Kamara,Arsenal,2016,0,2
Emiliano Martínez,Arsenal,2016,0,5
Chuba Akpom,Arsenal,2016,0,6
Daniel Crowley,Arsenal,2016,0,1
Jon Toral,Arsenal,2016,0,1
Gedion Zelalem,Arsenal,2016,0,4
Ainsley Maitland-Niles,Arsenal,2016,0,2
Brad Guzan,Aston Villa,2016,28,8
