Player,Team,Season,Appearances,SeasonAtTeam
Wojciech Szczesny,Arsenal,2017,0,9
David Ospina,Arsenal,2017,2,2
Petr Cech,Arsenal,2017,35,2
Matt Macey,Arsenal,2017,0,3
Mathieu Debuchy,Arsenal,2017,1,3
Kieran Gibbs,Arsenal,2017,11,11
Per Mertesacker,Arsenal,2017,1,6
Gabriel,Arsenal,2017,19,2
Laurent Koscielny,Arsenal,2017,33,7
Nacho Monreal,Arsenal,2017,36,5
Calum Chambers,Arsenal,2017,1,2
Héctor Bellerín,Arsenal,2017,33,5
Carl Jenkinson,Arsenal,2017,1,6
Tomas Rosicky,Arsenal,2017,0,11
Mikel Arteta,Arsenal,2017,0,6
Jack Wilshere,Arsenal,2017,2,11
Mesut Özil,Arsenal,2017,33,4
Alex Oxlade-Chamberlain,Arsenal,2017,29,6
Aaron Ramsey,Arsenal,2017,23,9
Santiago Cazorla,Arsenal,2017,8,5
Mathieu Flamini,Arsenal,2017,0,9
Serge Gnabry,Arsenal,2017,0,5
Francis Coquelin,Arsenal,2017,29,9
Mohamed El Neny,Arsenal,2017,14,2
Ismael Bennacer,Arsenal,2017,0,2
Krystian Bielik,Arsenal,2017,0,2
Alex Iwobi,Arsenal,2017,26,4
Ben Sheaf,Arsenal,2017,0,2
Chris Willock,Arsenal,2017,0,2
Olivier Giroud,Arsenal,2017,29,5
Theo Walcott,Arsenal,2017,28,12
Alexis Sánchez,Arsenal,2017,38,3
Yaya Sanogo,Arsenal,2017,0,4
Danny Welbeck,Arsenal,2017,16,3
Joel Campbell,Arsenal,2017,0,6
Jeff Reine-Adélaïde,Arsenal,2017,0,2
Granit Xhaka,Arsenal,2017,32,1
Lucas Pérez,Arsenal,2017,11,1
Shkodran Mustafi,Arsenal,2017,26,1
Rob Holding,Arsenal,2017,9,1
Ainsley Maitland-Niles,Arsenal,2017,1,3
Artur Boruc,AFC Bournemouth,2017,0,1
Adam Federici,AFC Bournemouth,2017,2,2
Jordan Holmes,AFC Bournemouth,2017,0,2
Simon Francis,AFC Bournemouth,2017,34,2
Steve Cook,AFC Bournemouth,2017,38,2
Tommy Elphick,AFC Bournemouth,2017,0,2
Charlie Daniels,AFC Bournemouth,2017,34,2
Tyrone Mings,AFC Bournemouth,2017,7,2
Adam Smith,AFC Bournemouth,2017,36,2
Sylvain Distin,AFC Bournemouth,2017,0,1
Rhoys Wiggins,AFC Bournemouth,2017,0,2
Corey Jordan,AFC Bournemouth,2017,0,2
Jack Simpson,AFC Bournemouth,2017,0,2
Jordan Lee,AFC Bournemouth,2017,0,2
Dan Gosling,AFC Bournemouth,2017,27,2
Andrew Surman,AFC Bournemouth,2017,22,1
Marc Pugh,AFC Bournemouth,2017,21,2
Harry Arter,AFC Bournemouth,2017,35,2
Shaun MacDonald,AFC Bournemouth,2017,0,2
Junior Stanislas,AFC Bournemouth,2017,21,2
Matt Ritchie,AFC Bournemouth,2017,0,2
Eunan O'Kane,AFC Bournemouth,2017,0,2
Josh Wakefield,AFC Bournemouth,2017,0,2
Tokelo Rantie,AFC Bournemouth,2017,0,2
Max Gradel,AFC Bournemouth,2017,11,1
Juan Iturbe,AFC Bournemouth,2017,0,0
Callum Wilson,AFC Bournemouth,2017,20,2
Joshua King,AFC Bournemouth,2017,36,2
Benik Afobe,AFC Bournemouth,2017,31,2
Lee Tomlin,AFC Bournemouth,2017,0,2
Glenn Murray,AFC Bournemouth,2017,0,2
Lewis Grabban,AFC Bournemouth,2017,3,1
Jayden Stockley,AFC Bournemouth,2017,0,2
Matt Butcher,AFC Bournemouth,2017,0,2
Sam Surridge,AFC Bournemouth,2017,0,2
Jordan Green,AFC Bournemouth,2017,0,2
Emerson Hyndman,AFC Bournemouth,2017,0,1
Jack Wilshere,AFC Bournemouth,2017,2,0
Brad Smith,AFC Bournemouth,2017,0,1
Lewis Cook,AFC Bournemouth,2017,6,1
Ryan Fraser,AFC Bournemouth,2017,28,1
Jordon Ibe,AFC Bournemouth,2017,0,1
Lys Mousset,AFC Bournemouth,2017,11,1
Tom Heaton,Burnley,2017,35,2
Paul Robinson,Burnley,2017,3,1
Matthew Gilks,Burnley,2017,0,2
Danijel Nizic,Burnley,2017,0,2
Matthew Lowton,Burnley,2017,36,1
Daniel Lafferty,Burnley,2017,0,2
Michael Duff,Burnley,2017,0,3
Michael Keane,Burnley,2017,0,2
Ben Mee,Burnley,2017,34,2
Stephen Ward,Burnley,2017,37,2
James Tarkowski,Burnley,2017,19,1
Tendayi Darikwa,Burnley,2017,0,1
Kevin Long,Burnley,2017,0,3
Tom Anderson,Burnley,2017,0,2
Cameron Dummigan,Burnley,2017,0,2
Dean Marney,Burnley,2017,21,2
Michael Kightly,Burnley,2017,5,2
David Jones,Burnley,2017,1,2
Matthew Taylor,Burnley,2017,0,2
Lloyd Dyer,Burnley,2017,0,1
Fredrik Ulvestad,Burnley,2017,0,2
George Boyd,Burnley,2017,36,2
George Green,Burnley,2017,0,1
Scott Arfield,Burnley,2017,31,2
Brad Jackson,Burnley,2017,0,1
Andre Gray,Burnley,2017,32,1
Sam Vokes,Burnley,2017,37,2
Rouwen Hennings,Burnley,2017,0,1
Lukas Jutkiewicz,Burnley,2017,2,2
Chris Long,Burnley,2017,0,1
Ashley Barnes,Burnley,2017,28,2
Daniel Agyei,Burnley,2017,0,1
Jason Gilchrist,Burnley,2017,0,2
Jeff Hendrick,Burnley,2017,32,1
Ashley Westwood,Burnley,2017,9,1
Robbie Brady,Burnley,2017,14,1
Nick Pope,Burnley,2017,0,1
Steven Defour,Burnley,2017,21,1
Johann Berg Gudmundsson,Burnley,2017,20,1
Jon Flanagan,Burnley,2017,0,0
Asmir Begovic,Chelsea,2017,2,1
Thibaut Courtois,Chelsea,2017,36,6
Jamal Blackman,Chelsea,2017,0,7
Marco Amelia,Chelsea,2017,0,2
Branislav Ivanovic,Chelsea,2017,13,12
Kurt Zouma,Chelsea,2017,9,4
Nathan Aké,Chelsea,2017,0,5
Abdul Rahman Baba,Chelsea,2017,0,1
Matt Miazga,Chelsea,2017,0,2
Gary Cahill,Chelsea,2017,37,6
John Terry,Chelsea,2017,9,20
César Azpilicueta,Chelsea,2017,38,5
Ola Aina,Chelsea,2017,0,3
